sample_name	run	experiment
Con1	SRR37630190	vb253
Con2	SRR37630189	vb253
Con4	SRR37630182	vb253
Con6	SRR37630181	vb253
R1CtlAZD	SRR25872598	mcti
R1CtlDMSO	SRR25872599	mcti
R1CtlDual	SRR25872576	mcti
R1CtlVB	SRR25872587	mcti
R1TGFbAZD	SRR25872572	mcti
R1TGFbDMSO	SRR25872573	mcti
R1TGFbDual	SRR25872570	mcti
R1TGFbVB	SRR25872571	mcti
R2CtlAZD	SRR25872568	mcti
R2CtlDMSO	SRR25872569	mcti
R2CtlDual	SRR25872596	mcti
R2CtlVB	SRR25872597	mcti
R2TGFbAZD	SRR25872594	mcti
R2TGFbDMSO	SRR25872595	mcti
R2TGFbDual	SRR25872592	mcti
R2TGFbVB	SRR25872593	mcti
R3CtlAZD	SRR25872590	mcti
R3CtlDMSO	SRR25872591	mcti
R3CtlDual	SRR25872588	mcti
R3CtlVB	SRR25872589	mcti
R3TGFbAZD	SRR25872585	mcti
R3TGFbDMSO	SRR25872586	mcti
R3TGFbDual	SRR25872583	mcti
R3TGFbVB	SRR25872584	mcti
R4CtlAZD	SRR25872581	mcti
R4CtlDMSO	SRR25872582	mcti
R4CtlDual	SRR25872579	mcti
R4CtlVB	SRR25872580	mcti
R4TGFbAZD	SRR25872577	mcti
R4TGFbDMSO	SRR25872578	mcti
R4TGFbDual	SRR25872574	mcti
R4TGFbVB	SRR25872575	mcti
TGFb10	SRR37630188	vb253
TGFb12	SRR37630187	vb253
TGFb8	SRR37630176	vb253
TGFb9	SRR37630175	vb253
T_VB253_20	SRR37630180	vb253
T_VB253_21	SRR37630179	vb253
T_VB253_23	SRR37630178	vb253
T_VB253_24	SRR37630177	vb253
VB253_13	SRR37630186	vb253
VB253_14	SRR37630185	vb253
VB253_15	SRR37630184	vb253
VB253_17	SRR37630183	vb253
